Version:,1,,Date:,9/3/2015
Measure,Time,MSPerQuarter,MSPerMeasure,Frames
734,1.5,480,720,527760
735,1.5,480,720,528480
736,1.5,480,720,529200
737,1.5,480,720,529920
738,1.5,480,720,530640
739,1.5,480,720,531360
740,1.5,480,720,532080
741,1.5,480,720,532800
742,1.5,480,720,533520
743,1.5,480,720,534240
744,1.5,480,720,534960
745,1.5,480,720,535680
746,1.5,480,720,536400
747,1.5,480,720,537120
748,1.5,480,720,537840
749,1.5,480,720,538560
750,1.5,480,720,539280
751,1.5,480,720,540000
752,1.5,480,720,540720
753,1.5,480,720,541440
754,1.5,480,720,542160
755,1.5,480,720,542880
756,1.5,480,720,543600
757,1.5,480,720,544320
758,1.5,480,720,545040
759,1.5,480,720,545760
760,1.5,480,720,546480
761,1.5,480,720,547200
762,1.5,480,720,547920
763,1.5,480,720,548640
764,1.5,480,720,549360
765,1.5,480,720,550080
766,1.5,480,720,550800
767,1.5,480,720,551520
768,1.5,480,720,552240
769,1.5,480,720,552960
770,1.5,480,720,553680
771,1.5,480,720,554400
772,1.5,480,720,555120
773,1.5,480,720,555840
774,1.5,480,720,556560
775,1.5,480,720,557280
776,1.5,480,720,558000
777,1.5,480,720,558720
778,1.5,480,720,559440
779,1.5,480,720,560160
780,1.5,480,720,560880
781,1.5,480,720,561600
782,1.5,480,720,562320
783,1.5,480,720,563040
784,1.5,480,720,563760
785,1.5,480,720,564480
786,1.5,480,720,565200
787,1.5,480,720,565920
788,1.5,480,720,566640
789,1.5,480,720,567360
790,1.5,480,720,568080
791,1.5,480,720,568800
